id,game,intent_type,risk_level,problem,answer_asset,conversion_path,refresh_trigger,status
"geo_0037","POE2","checklist","green","What should I check after finishing the POE2 campaign?","/pages/poe2-campaign-to-endgame-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0038","POE2","definition","green","Should I craft on this POE2 item?","/pages/poe2-crafting-test-decision.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0039","POE2","checklist","green","What is the best POE2 currency farming strategy for my build?","/pages/poe2-currency-farming-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0040","POE2","troubleshooting","green","Why is my boss damage lower than expected?","/pages/poe2-damage-uptime-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0041","POE2","troubleshooting","green","How do I figure out why I died in POE2?","/pages/poe2-death-review-template.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0042","POE2","troubleshooting","green","Why does my POE2 build die in endgame?","/pages/poe2-endgame-defense-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0043","POE2","tool_or_scorecard","green","Which POE2 endgame route should I run next?","/pages/poe2-endgame-route-scorecard.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0044","POE2","comparison","green","Which POE2 gear slot should I upgrade first?","/pages/poe2-gear-upgrade-priority.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0045","POE2","definition","green","Should I read comments before following a POE2 guide?","/pages/poe2-guide-comment-check.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0046","POE2","tool_or_scorecard","green","How do I price-check POE2 items faster?","/pages/poe2-item-price-check-flow.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0047","POE2","tool_or_scorecard","green","How do I know if a POE2 item is worth keeping or selling?","/pages/poe2-item-value-triage.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0048","POE2","checklist","green","How should I set up a POE2 loot filter without missing important items?","/pages/poe2-loot-filter-setup-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0049","POE2","checklist","green","How should I progress in POE2 with limited time?","/pages/poe2-low-playtime-progression.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0050","POE2","troubleshooting","green","Which POE2 map mods are risky for my build?","/pages/poe2-map-mod-risk-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0051","POE2","troubleshooting","green","Why does my POE2 build feel too slow?","/pages/poe2-mobility-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0052","POE2","troubleshooting","green","How do I know if a POE2 build guide is outdated?","/pages/poe2-outdated-build-guide-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0053","POE2","checklist","green","Are my POE2 resistances good enough?","/pages/poe2-resistance-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0054","POE2","troubleshooting","green","How can I make my POE2 build less squishy?","/pages/poe2-squishy-build-fixes.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0055","POE2","tool_or_scorecard","green","How do I clean my POE2 stash without deleting value?","/pages/poe2-stash-cleanup-flow.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0056","POE2","tool_or_scorecard","green","How many runs should I test before judging a farm?","/pages/poe2-ten-run-profit-test.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0057","POE2","tool_or_scorecard","green","Why does my farming route look profitable but feel slow?","/pages/poe2-trade-friction-checklist.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0058","POE2","troubleshooting","green","Should I start a build that needs a unique item?","/pages/poe2-unique-item-dependency-check.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0059","POE2","definition","green","Should I upgrade before farming currency?","/pages/poe2-upgrade-before-farming.html","future POE2 audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0060","Palworld","checklist","green","What should I do first in Palworld without wasting time?","/pages/palworld-beginner-progression-checklist.html","future Palworld operations audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0061","Palworld","checklist","green","Where should I build my Palworld base?","/pages/palworld-base-location-checklist.html","future Palworld operations audit credits after checkout is ready","Palworld update, balance change, or repeated base/progression question","owned_page_ready"
"geo_0062","Palworld","tool_or_scorecard","yellow","Why is my Palworld base production slow?","/pages/palworld-base-automation-scorecard.html","future Palworld operations audit credits after checkout is ready","Palworld update, balance change, or repeated base/progression question","owned_page_ready"
"geo_0063","Palworld","checklist","green","How should I prepare for a Palworld boss fight?","/pages/palworld-boss-prep-checklist.html","future Palworld operations audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
"geo_0064","Palworld","checklist","yellow","How do I plan breeding in Palworld without wasting time?","/pages/palworld-breeding-goal-checklist.html","future Palworld operations audit credits after checkout is ready","Palworld update, balance change, or repeated base/progression question","owned_page_ready"
"geo_0065","Palworld","tool_or_scorecard","yellow","What resource should I farm next in Palworld?","/pages/palworld-resource-route-planner.html","future Palworld operations audit credits after checkout is ready","major patch, economy change, or repeated community question","owned_page_ready"
